City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Hirara,JP,2022-04-07 02:59:07,24.8,125.2833,297.07,64,40,7.2
202,La Ronge,CA,2022-04-07 03:00:39,55.1001,-105.2842,272.28,85,99,2.12
203,Helong,CN,2022-04-07 03:01:10,42.5397,128.9972,276.43,55,100,5.98
204,Fortuna,US,2022-04-07 02:53:07,40.5982,-124.1573,285.29,75,0,3.6
205,Zhanaozen,KZ,2022-04-07 03:01:11,43.3,52.8,282.67,68,94,5.39
206,Mount Gambier,AU,2022-04-07 03:01:12,-37.8333,140.7667,294.86,49,33,4.9
207,Half Moon Bay,US,2022-04-07 03:01:12,37.4636,-122.4286,296.1,49,0,6.17
208,Elverum,NO,2022-04-07 03:01:13,60.8819,11.5623,267.37,88,100,1.57
209,Tiksi,RU,2022-04-07 03:01:13,71.6872,128.8694,252.64,98,100,3.51
210,Cairns,AU,2022-04-07 02:51:43,-16.9167,145.7667,305.99,57,89,2.57
211,Alekseyevsk,RU,2022-04-07 03:01:14,57.8406,108.3492,275.8,100,100,3.31
212,Portland,US,2022-04-07 02:57:27,45.5234,-122.6762,287.82,48,45,4.92
213,Stepnogorsk,KZ,2022-04-07 03:01:15,52.3544,71.8869,274.98,61,14,0.95
214,Suriapet,IN,2022-04-07 03:01:16,17.15,79.6167,302.88,48,59,3.86
215,Maldonado,UY,2022-04-07 02:59:53,-34.6667,-54.9167,292.16,76,0,2.98
216,Bodden Town,KY,2022-04-07 03:01:14,19.2833,-81.25,300.37,74,20,4.12
217,Codrington,AU,2022-04-07 03:01:18,-38.2667,141.9667,293.97,59,43,8.65
218,Saint-Augustin,CA,2022-04-07 03:01:18,51.226,-58.6502,274.17,81,100,7.23
219,Katangli,RU,2022-04-07 03:01:19,51.7102,143.2326,273.17,66,16,7.34
220,Camacha,PT,2022-04-07 03:01:20,33.0833,-16.3333,286.83,77,40,4.12
221,Krasnyy Kut,RU,2022-04-07 03:01:20,50.95,46.9667,277.78,86,58,4.68
