City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Wittlich,DE,49.9833,6.8833,62.96,34,0,4.12,clear sky
197,Mahina,PF,-17.5065,-149.489,74.966,83,20,1.54,few clouds
198,Broadford,AU,-37.2,145.0667,52.556,79,98,3.34,overcast clouds
199,Hobyo,SO,5.3505,48.5268,84.146,68,7,5.61,clear sky
200,Miles City,US,46.4083,-105.8406,27.572,100,20,2.57,few clouds
201,Bethel,US,41.3712,-73.414,51.458,52,0,2.06,clear sky
202,Namatanai,PG,-3.6667,152.4333,79.682,80,88,2.93,overcast clouds
203,Gushikawa,JP,26.3544,127.8686,72.986,91,75,4.63,broken clouds
204,Chapais,CA,49.7834,-74.8492,29.984,90,83,1.83,broken clouds
205,Harper,LR,4.375,-7.7169,84.884,70,66,3.73,light rain
206,Bayeux,BR,-7.125,-34.9322,84.83,74,75,5.14,broken clouds
207,Nuuk,GL,64.1835,-51.7216,32.612,55,75,3.09,broken clouds
208,Xichang,CN,27.8964,102.2634,63.194,80,98,1.55,overcast clouds
209,Kalianget,ID,-7.05,113.9333,81.824,69,35,2.16,scattered clouds
210,Esperance,AU,-33.8667,121.9,62.438,93,100,4.72,overcast clouds
211,Jackson,US,42.4165,-122.8345,37.922,79,100,2.68,light rain
212,Nikolskoye,RU,59.7035,30.7861,45.878,77,100,2.37,overcast clouds
213,Miracema Do Tocantins,BR,-9.5618,-48.3967,91.058,55,0,1.1,clear sky
214,Salta,AR,-24.7859,-65.4117,75.578,71,20,2.57,few clouds
215,Sterling,US,39.0062,-77.4286,55.148,51,20,3.6,few clouds
216,Suez,EG,29.9737,32.5263,77.252,28,0,10.42,clear sky
217,Durant,US,33.994,-96.3708,73.04,72,75,3.09,broken clouds
218,Kuusankoski,FI,60.907,26.6244,45.122,49,0,3.6,clear sky
219,Ormara,PK,25.2088,64.6357,81.068,75,1,3.6,clear sky
220,Rocky Mountain House,CA,52.3668,-114.9188,19.508,63,100,3.6,overcast clouds
221,Vetralla,IT,42.3098,12.0784,59.684,46,0,6.17,clear sky
222,Bac Lieu,VN,9.285,105.7244,80.618,79,27,3.38,scattered clouds
223,Artyshta,RU,54.1222,86.2909,26.132,81,26,1.45,scattered clouds
224,North Bend,US,43.4065,-124.2243,42.71,87,100,7.2,overcast clouds
225,Shubarkuduk,KZ,49.1447,56.4872,54.572,75,44,3.24,scattered clouds
226,Batagay,RU,67.6333,134.6333,-4.27,99,85,2.04,overcast clouds
227,Aksarka,RU,66.5606,67.7975,34.574,100,100,4.33,overcast clouds
228,Gadung,PH,6.8025,124.02,80.186,81,100,3.72,overcast clouds
229,Archena,ES,38.1163,-1.3004,69.566,61,20,5.14,few clouds
230,Banes,CU,20.9625,-75.7186,78.746,62,99,7.21,overcast clouds
231,Igaci,BR,-9.5369,-36.6336,90.014,44,33,4.07,scattered clouds
232,Tigil,RU,57.8,158.6667,14.126,95,100,2.25,overcast clouds
233,Barrow,US,71.2906,-156.7887,21.218,86,100,4.12,overcast clouds
234,Tual,ID,-5.6667,132.75,82.922,73,100,3.64,overcast clouds
235,Severodvinsk,RU,64.5635,39.8302,50.108,74,51,5.7,broken clouds
236,Cayenne,GF,4.9333,-52.3333,86.036,1,40,7.2,scattered clouds
237,Hirado,JP,33.3597,129.5531,62.384,92,73,2.73,broken clouds
238,Gat,IL,31.61,34.7642,69.818,37,0,6.32,clear sky
239,Gryazovets,RU,58.88,40.2525,37.22,98,100,2.7,moderate rain
240,Cuamba,MZ,-14.8031,36.5372,76.316,75,38,0.68,scattered clouds
241,San Rafael,AR,-34.6177,-68.3301,59.864,33,0,2.83,clear sky
242,Broken Hill,AU,-31.95,141.4333,67.712,52,0,4.12,clear sky
243,Dalbandin,PK,28.8947,64.4101,87.998,7,18,4.05,few clouds
244,Porgera,PG,-5.4667,143.2,42.134,98,79,0.49,broken clouds
245,Lagoa,PT,39.05,-27.9833,58.73,89,100,9.96,overcast clouds
246,Saurimo,AO,-9.6608,20.3916,84.524,61,75,3.6,broken clouds
